@id,@lat,@lon,name,historic,tourism,leisure,natural,amenity,artwork_type
10749504077,48.9264757,2.5933668,,,,,cave_entrance,,
10749504078,48.9262818,2.5934177,,,,,cave_entrance,,
10749504079,48.9261320,2.5907409,,,,,cave_entrance,,
10749504080,48.9262289,2.5904083,,,,,cave_entrance,,
10749504081,48.9264862,2.5901266,,,,,cave_entrance,,
10749504082,48.9268369,2.5897431,,,,,cave_entrance,,
10749504083,48.9269409,2.5896304,,,,,cave_entrance,,
10749504084,48.9272070,2.5894910,,,,,cave_entrance,,
10749504085,48.9274326,2.5894024,,,,,cave_entrance,,
10749504086,48.9277075,2.5893408,,,,,cave_entrance,,
10749504087,48.9281868,2.5887963,,,,,cave_entrance,,
10749504088,48.9293199,2.5883322,,,,,cave_entrance,,
10750775682,44.4511053,2.5011341,,,,,cave_entrance,,
10750822129,48.3213698,5.4231271,,,,,cave_entrance,,
10750845215,45.0870587,1.4187458,,,,,cave_entrance,,
10750855650,44.2299943,3.2150410,,,,,cave_entrance,,
10750855651,44.2050007,3.2307031,,,,,cave_entrance,,
10751194531,49.0346973,2.1338256,La grotte de Liesse,,,,cave_entrance,,
10752400641,44.2038207,3.2871249,Bauma de Vernhès,,,,cave_entrance,,
10752400643,44.2053109,3.2886793,Grotte-Aven de La Vigne,,,,cave_entrance,,
10753348593,43.7179481,3.4933395,,,viewpoint,,,,
10753883671,44.0878535,4.8817622,Belvédère,,viewpoint,,,,
10754381087,44.2015183,3.3433987,Perte des Hérans,,,,cave_entrance,,
10755686557,43.4894068,2.3514347,,,viewpoint,,,,
10756393612,15.8755712,-61.5974511,,,viewpoint,,,,
10761120306,44.9824292,5.6024109,,,viewpoint,,,,
10761260907,45.1797839,2.7092518,Tour d'observation (montée raide),,viewpoint,,,,
10762148144,44.9725966,5.5894395,,,viewpoint,,,,
10762148149,44.9803413,5.5993346,,,viewpoint,,,,
10763469106,43.8503909,3.1757341,Bergerie,,,,cave_entrance,,
10763480786,43.8508523,3.1707841,Baume 2,,,,cave_entrance,,
10763480787,43.8508706,3.1712709,Baume 1,,,,cave_entrance,,
10763541705,43.3298529,5.2205324,Grotte marine,,,,cave_entrance,,
10763743207,43.3366878,5.2292789,,,viewpoint,,,,
10763754698,44.5845682,1.8975777,,,,,cave_entrance,,
10763843186,48.3873247,2.7052370,Perspective du Mail Henri IV,,viewpoint,,,,
10763879505,45.9673772,6.7480249,,,viewpoint,,,,
10764558142,43.5530539,3.2906492,,,viewpoint,,,,
10764620907,44.8737243,6.4495328,Belvédère des 3 refuges,,viewpoint,,,,
10765799559,46.4256658,0.8662450,,,viewpoint,,,,
10765799560,46.4255044,0.8663199,,,viewpoint,,,,
10766368176,47.2509328,6.3632410,,,viewpoint,,,,
10767394751,15.9482946,-61.7076039,,,viewpoint,,,,
10773047055,43.8875813,-1.3678350,,,viewpoint,,,,
10774891485,44.1426932,3.2324112,,,,,cave_entrance,,
10779441864,49.3794164,-0.9031575,,,viewpoint,,,,
10780004098,44.5893178,4.7003490,,,viewpoint,,,,
10780161229,43.9540254,5.1726892,Aven de la Pouraque,,,,cave_entrance,,
10780335606,43.6300988,-0.7185913,Grotte des Hyènes,archaeological_site,,,cave_entrance,,
10781275633,48.5163923,2.4023321,,,,,cave_entrance,,
10781275838,48.5163643,2.4020791,,,,,cave_entrance,,
10781849089,43.1092239,0.9801859,abrie préhistorique de Marsoulas,,,,cave_entrance,,
10782171268,45.1468594,5.6013952,danois,,,,cave_entrance,,
10782171290,45.1431856,5.5965820,,,,,cave_entrance,,
10782171293,45.1425470,5.5948842,,,,,cave_entrance,,
10782492940,44.1424190,5.0707908,Grotte des Abories n°2,,,,cave_entrance,,
10783639382,43.3110261,-1.6974024,,,viewpoint,,,,
10784167614,45.5857899,5.7987540,Grotte du Loup,,,,cave_entrance,,
10784708505,43.1636995,5.6066751,,,viewpoint,,,,
10784772249,44.1427000,5.0661392,Grotte des Abories n°1,,,,cave_entrance,,
10788813410,43.5600124,5.0206501,,,viewpoint,,,,
10788886873,48.8276146,5.9817616,Le Trou du Gros Bois,,,,cave_entrance,,
10792970518,47.9818915,7.0115549,,,viewpoint,,,,
10793709517,44.8495681,0.4823607,,,viewpoint,,,,
10795287489,44.3341936,4.5481414,,,viewpoint,,,,
10795704833,43.5855649,3.6813936,,,viewpoint,,,,
10796582527,43.2069042,5.4806276,,,viewpoint,,,,
10796766322,43.8146415,7.5115424,,,viewpoint,,,,
10796997925,43.7307022,7.4021660,,,viewpoint,,,,
10797027083,44.0852514,7.5933740,,,viewpoint,,,,
10797287465,42.9668525,1.6183877,,,viewpoint,,,,
10797714867,43.5415688,5.5363049,Belvédère du lac,,viewpoint,,,,
10798101421,43.1242132,2.9917319,,,viewpoint,,,,
10798714762,46.7386245,5.9716294,,,viewpoint,,,,
10798753523,43.7832749,7.4896824,,,viewpoint,,,,
10800113278,45.2616966,5.7120640,,,viewpoint,,,,
10801093587,45.6581965,0.8859010,,,viewpoint,,,,
10801608813,44.9065167,5.9268557,,,viewpoint,,,,
10802438783,44.6376479,1.8189266,Grotte de la Finou,,,,cave_entrance,,
10803945205,43.1979536,5.5098789,Point de vue,,viewpoint,,,,
10804064804,44.7162547,1.6283000,Igue des Combettes,,,,cave_entrance,,
10804081138,44.6663793,1.8760208,Grotte du Fennet,,,,cave_entrance,,
10805016639,45.5142600,6.2152205,,,viewpoint,,,,
10805822426,49.1458064,6.6480185,Grotte de Eremite,,,,cave_entrance,,
10805858296,47.0143877,6.2507966,Gouffre de Cudrette,,,,cave_entrance,,
10807855269,48.8320815,6.1337501,,,viewpoint,,,,
10807855274,48.9522110,6.0885852,,,viewpoint,,,,
10807855279,48.9568842,6.0795299,,,viewpoint,,,,
10807892371,48.8430701,-1.5936036,,,viewpoint,,,,
10807994116,48.9301771,6.0873153,,,viewpoint,,,,
10808913633,43.7731815,3.8092712,Grotte du Ruisseau de Saint Roman,,,,cave_entrance,,
10810792905,43.8182835,3.7319080,Aven-grotte du ravin des Arcs,,,,cave_entrance,,
10810974560,44.8642464,4.2866879,Grottes troglodyte de Cros,,,,cave_entrance,,
10810980498,43.8181777,3.7314298,Grotte du Grand Arc n°4,,,,cave_entrance,,
10810980499,43.8181837,3.7312071,Grotte du Grand Arc n°9,,,,cave_entrance,,
10810980500,43.8183636,3.7309349,Grotte du Grand Arc n°8,,,,cave_entrance,,
10810980501,43.8182809,3.7310581,Grotte du Grand Arc n°5,,,,cave_entrance,,
10811058873,44.8716694,1.8055327,,,viewpoint,,,,
10811614272,44.2324766,5.2080133,,,viewpoint,,,,
10812417452,42.5250111,3.0960555,,,viewpoint,,,,
10813981925,45.3332634,5.6331673,,,,,cave_entrance,,
10815150178,43.8235866,3.7284042,,,,,cave_entrance,,
10815156472,43.8241738,3.7270290,,,viewpoint,,,,
10815346187,48.9890506,6.0184519,,,viewpoint,,,,
10816564718,48.7058539,2.3868273,,,viewpoint,,,,
10816832039,44.2543539,4.3743128,Aven du Vasistas,,,,cave_entrance,,
10816838067,44.2543395,4.4438115,Grotte de la Bruge,,,,cave_entrance,,
10816910066,44.2139867,4.3718478,Aven du Fangas,,,,cave_entrance,,
10816910067,44.2149557,4.3706864,Aven du Fangas,,,,cave_entrance,,
10817349909,46.1352107,6.1675475,Grotte de la Table,,,,cave_entrance,,
10818993072,44.8867530,5.8828079,,,viewpoint,,,,
10819999379,47.8745606,7.0013232,,,viewpoint,,,,
10821798891,43.8737500,3.3833170,Cave de Mounios,,,,cave_entrance,,
10822266116,47.9736061,3.5009667,,,viewpoint,,,,
10822429453,47.8761065,6.9523732,,,viewpoint,,,,
10823775921,44.7620788,1.5027089,,,viewpoint,,,,
10824061680,45.3652365,1.4461996,,,viewpoint,,,,
10824545515,47.9669375,3.4671172,,,viewpoint,,,,
10824628768,43.2298863,1.9751610,,,viewpoint,,,,
10825091612,43.9009074,3.1584647,Grotte traversante (entrée inférieure),,,,cave_entrance,,
10825091613,43.9006972,3.1591338,Grotte traversante (entrée supérieure),,,,cave_entrance,,
