@id,@lat,@lon,name,historic,tourism,leisure,natural,amenity,artwork_type;
99224886,47.3814471,8.6352676,Hermikon,,information,,,,;
99338789,47.5092728,8.5042799,Niederhöri,,information,,,,;
99408008,47.5503687,8.5210097,,,information,,,,;
99415770,47.5152614,8.5195961,,,information,,,,;
99417104,47.5039555,8.4997234,Oberhöri,,information,,,,;
100016198,47.4359208,8.4999151,,,information,,,,;
100025311,47.4310551,8.5119418,,,information,,,,;
100025320,47.4331554,8.5064268,,,information,,,,;
100221263,47.3640683,8.6202528,Pfaffhausen,,information,,,,;
100224777,47.3667763,8.6120511,,,information,,,,;
100249216,47.4448209,8.5219253,,,information,,,,;
100249230,47.4411865,8.5086783,,,information,,,,;
100249235,47.4380787,8.5066965,,,information,,,,;
100873503,47.5595606,8.5360561,Hochwacht Rhinsberg,castle,,,,,;
101056136,47.5310497,8.5565387,Nussbaumen,,information,,,,;
101112229,47.5165930,8.5486205,,,information,,,,;
101482745,47.5134116,8.4744584,Neerach (Post),,information,,,,;
104241910,47.3382614,8.5373086,Ortsmuseum Wollishofen,,museum,,,,;
105523201,47.4338727,8.5808389,,,information,,,,;
105524774,47.4389852,8.5870876,,,information,,,,;
105527603,47.4309972,8.5930302,,,information,,,,;
105528714,47.4370630,8.5821505,,,information,,,,;
105533215,47.4335784,8.5947163,,,information,,,,;
105535240,47.4325725,8.6063010,,,information,,,,;
105535826,47.4350528,8.6018582,,,information,,,,;
105536406,47.4343431,8.5992839,,,information,,,,;
105588675,47.4539574,8.5821751,,,information,,,,;
106194268,47.5145643,8.4839399,,,information,,,,;
114334358,47.4333315,8.6689308,,,information,,,,;
116990415,59.4127376,17.9132328,Akalla Gård,,zoo,,,,;
126531598,47.3959733,8.5463301,,,information,,,,;
130058289,59.2927625,17.8301289,Wallenberg-mausoleum,,attraction,,peak,,;
132394952,47.5176524,8.5414694,Ortsmuseum Brunngasshus,,museum,,,,;
134474565,46.9369399,7.5674949,Eggwald,,information,,,,;
135912840,46.5896935,8.3246970,Mélisande,,artwork,,,,mural;
138245928,46.2190179,6.2793023,,,information,,,,;
140392627,47.3829824,8.5357988,Museum für Gestaltung,,museum,,,,;
144979853,60.4375511,14.7111459,Mejdåsens utsiktstorn,,viewpoint,,,,;
147648050,60.4033432,15.4630978,Nybroberget,,viewpoint,,peak,,;
148282854,46.9262943,7.1161966,,,information,,,,;
148690485,60.1504307,15.1835532,Ludvika-Smedjebackens Turism,,information,,,,;
149322593,56.4599904,14.5145495,Tregränsstenen Grytehall,,attraction,,,,;
150998064,47.3243029,8.6503222,,,information,,,,;
151017963,59.5246012,17.6745620,Lejondals Slott,castle,,,,,;
151352939,47.3531644,8.5997068,,,information,,,,;
152119101,59.5250735,17.6848323,Hällkana friluftsområde,,attraction,,,,;
171401814,59.6530937,17.9553729,Stockholm-Arlanda Airport,,viewpoint,,,,;
173506700,47.3904768,8.4183215,Niederurdorf,,information,,,,;
177854030,47.1927845,8.7229883,,,information,,,,;
181285354,47.1960537,8.7172653,,,information,,,,;
181285450,47.1974330,8.7129503,,,information,,,,;
186993743,46.8930781,7.2286274,Bösingen,,information,,,,;
190954396,46.3170808,7.7881022,Brägji,,information,,,,;
190969200,46.3179916,7.9506047,,,information,,,,;
190969207,46.3174304,7.9512051,,,information,,,,;
190976766,46.5087738,7.7349443,Ober Bergli,,information,,,,;
190985095,46.4314208,7.5915266,Chindbettipass,,information,,saddle,,;
191255585,61.1671704,14.7506663,Badplats,,,water_park,,,;
192438473,46.8046547,7.1786980,Fribourg - Schönberg,,information,,,,;
192438875,46.8236218,7.1819080,Chastels,,information,,,,;
192438912,46.8290182,7.1742869,Balliswil,,information,,,,;
192894525,46.8114153,7.1380956,,,information,,,,;
193944761,59.3341318,18.0631391,Limpan Lindström,,artwork,,,,sculpture;
199304959,46.7238619,7.1536996,,,information,,,,;
199304961,46.7235148,7.1537711,,,information,,,,;
200761128,47.5045017,7.6937270,Adlerhof,,information,,,,;
202180107,47.7045535,8.6028119,Gretzenäcker,,information,,,,;
204988220,46.4891149,9.8972148,,,information,,,,;
204988962,46.4487064,9.8767531,,,information,,,,;
205191805,46.4929847,9.9025408,Puntraschigna Laret,,information,,,,;
205191812,46.4876992,9.9070653,,,information,,,,;
205193436,46.4534355,9.9414397,,,information,,,,;
205222873,46.4855205,9.9092516,,,information,,,,;
206188287,47.3065398,8.6606979,,,information,,,,;
206188288,47.3047152,8.6613379,Vorderguldenen,,information,,,,;
206305781,46.9894356,8.4198612,Milchhüttli,,information,,,,;
206390644,46.8057810,8.4451227,Wasserfall,,information,,,,;
206390646,46.8056201,8.4454047,Wasserfall,,information,,,,;
206391035,46.9671539,8.4046075,Ober Faden,,information,,,,;
207261482,47.4076156,8.4974531,,,information,,,,;
207716415,47.2831220,8.7325482,Summerau,,information,,,,;
208707063,47.2237649,7.7192585,,,information,,,,;
209552685,47.3537902,8.6447265,,,information,,,,;
210319349,47.2055695,8.7068693,,,information,,,,;
210371793,47.1953239,8.7229269,,,information,,,,;
210371796,47.1954316,8.7221534,,,information,,,,;
210378174,47.1979003,8.7348770,,,information,,,,;
210382879,47.2002431,8.7244724,,,information,,,,;
210401769,46.1250450,8.7088561,Co Di Porta,,information,,,,;
210420923,46.1396119,8.6951423,Morghegno,,information,,,,;
210938696,47.1855657,7.7579967,Bleienbach,,information,,,,;
213644621,47.3392981,8.6765023,,,information,,,,;
213677566,47.3242123,8.7038522,,,information,,,,;
213786201,47.3927479,8.5632441,Waldhüsli,,information,,,,;
216018853,47.2316797,7.7065782,Berkenbrücke,,information,,,,;
216199023,47.3284081,8.6470096,Forchdenkmal,monument,attraction,,,,;
216201741,47.3261170,8.6502308,,,information,,,,;
218967113,60.6715244,17.1490198,John Erik Forsgren,memorial,,,,,;
219005164,60.6721724,17.1499212,Joe Hill-gården,,museum,,,,;
219096594,47.5713950,9.0591938,,,information,,,,;
223246159,46.9302065,7.5635162,,,information,,,,;
233267572,47.2077225,8.6148098,,,information,,,,;
233267579,47.2064850,8.6148398,,,information,,,,;
233272580,47.2093313,8.6137134,Sprümüli,,information,,,,;
233484652,47.2130799,8.5697065,Utigen,,information,,,,;
233486043,47.2147298,8.5681751,,,information,,,,;
235648516,47.3489879,8.6358759,,,information,,,,;
235648593,47.3473514,8.6334262,Süessblätz,,information,,,,;
240085571,47.2103260,8.5619863,Ruessen,,information,,,,;
240101574,47.2422538,8.5880683,,,information,,,,;
240101578,47.2443438,8.5888130,,,information,,,,;
240144421,47.1934967,8.7277043,,,information,,,,;
240330936,47.3440250,8.6615115,,,information,,,,;
240354373,47.2266881,8.6355997,Stocken,,information,,,,;
240857489,47.1736394,8.9106458,,,information,,,,;
242340160,47.1999781,8.7250416,,,information,,,,;
242373869,47.3061096,8.6046835,Erlenbach Allmend,,information,,,,;
242406393,47.2302731,8.4953831,Hauptikon,,information,,,,;
242412517,47.3719962,8.4839757,,,information,,,,;
242717381,47.1670974,7.7961798,Madiswil/Station,,information,,,,;
243059058,52.1119993,31.7817307,Три сестры / Тры сястры / Три сестри,monument,,,,,;
243092678,47.3044331,8.7385402,,,information,,,,;
243461071,61.9273826,16.6462309,,,attraction,,,,;
243501296,47.0368899,8.7768490,Oberiberg Tschalun,,information,,,,;
243501369,47.0407143,8.7863230,Oberiberg Kirche,,information,,,,;
243762973,47.4901686,8.7254086,Breiti,,information,,,,;
244068220,46.7674748,9.8001085,,,information,,,,;
244068259,46.7519860,9.7842330,,,information,,,,;
244068286,46.7357059,9.7766747,,,information,,,,;
244068294,46.7315976,9.7744092,,,information,,,,;
244068389,46.7022209,9.7144291,,,information,,,,;
244207723,47.2861990,8.8735134,,,information,,,,;
244500321,47.4146551,8.5388198,Aussichtsturm,,viewpoint,,,,;
244998300,47.1604292,7.7518922,Dornegg,,information,,,,;
245416669,60.6771224,17.1097800,,,information,,,,;
245942639,58.0209857,13.7363889,Ryttarens torvströfabrik,,museum,,,,;
246256299,46.7846378,6.7648625,Rovray,,information,,,,;
246624890,47.2115591,7.7986632,,,information,,,,;
246634582,47.1282648,8.7518457,,,information,,,,;
246634754,47.1675862,8.7668050,Tüfelsbrugg,,information,,,,;
246634756,47.1684240,8.7660665,,,information,,,,;
246634810,47.1983588,8.7838568,,,information,,,,;
246956804,60.6617484,17.1711135,Sveriges Järnvägsmuseum,,museum,,,,;
246956848,60.6507448,17.1698596,,,viewpoint,,,,;
247119148,46.0258690,7.7575181,,,information,,,,;
247139617,47.2733777,8.2970141,Guggibad,,information,,,,;
247139632,47.2678560,8.2638040,Mettmenschongau,,information,,,,;
247345242,47.2281451,7.8456133,,,information,,,,;
247348004,47.2072241,7.8626313,Ober Berghof,,information,,,,;
247361528,47.1661239,7.8328776,Hohwacht Reisiswil,,viewpoint,,,,;
247462982,47.2237772,7.7197893,Stadönz,,information,,,,;
247462995,47.2253888,7.7198578,Stadönz,,information,,,,;
247636818,47.5357082,7.7197012,Augst,,information,,,,;
247737100,59.6161831,17.7214362,Tant Bruns Kaffestuga,,attraction,,,cafe,;
247911081,47.0593087,8.8019816,Unteriberg-Stöcken,,information,,,,;
247911119,47.0985081,8.7942313,Steinbach,,information,,,,;
248087933,59.4559730,18.1137024,Rönninge By,,attraction,,,,;
248329911,46.5625724,9.5563218,Tigia,,information,,,,;
248531553,47.3825528,7.2675712,,,information,,,,;
248531905,47.3922320,7.2590008,,,information,,,,;
248636989,46.5721499,9.5486964,,,information,,,,;
248716788,59.8373826,17.5869259,Kung Björns hög,monument,,,,,;
248912453,59.3522891,18.0580220,,,information,,,,;
248913932,59.3528674,18.0516224,Carl Eldhs Ateljémuseum,,museum,,,,;
248972816,47.1897170,9.3394296,Hägis,,information,,,,;
248973051,47.2058187,9.3665553,Loog,,information,,,,;
248973274,47.1926294,9.3228960,Hinter-Schwendi,,information,,,,;
248973293,47.1968614,9.3378101,Brand,,information,,,,;
248973319,47.1994561,9.3569956,Munzenriet,,information,,,,;
248973320,47.1967962,9.3547665,Kollersweid,,information,,,,;
249282583,46.9666079,8.4735019,Talstation Klewenbahn,,information,,,,;
249305705,47.3642066,8.7812074,Pfäffikersee,,information,,,,;
249305761,47.3584037,8.7678657,,,information,,,,;
249305771,47.3566926,8.7676396,Talhof,,information,,,,;
249305816,47.3425439,8.7748529,Seegräben Landungssteg,,information,,,,;
249435769,47.3650440,8.6775504,,,information,,,,;
249580193,46.3116863,7.6432775,Susten,,information,,,,;
249617740,46.3795654,7.6269468,Leukerbad Tourismus,,information,,,,;
249629912,58.0529354,14.5058268,,,information,,,,;
250111974,47.1159706,7.7299948,Eggstutzwald,,information,,,,;
250172856,60.9618818,14.6507377,,,information,,,,;
250172858,60.9619098,14.6505490,Liss-Nien,boat,attraction,,,,;
250250858,47.3546830,8.4424965,,,information,,,,;
250515230,61.1351843,13.9553956,,,information,,,,;
250548665,61.0069958,14.5379334,Zornmuseet,,museum,,,,;
250558261,47.3291375,8.6445515,,,information,,,,;
250558823,47.3072153,8.6616517,Gerstenchrüz,,information,,,,;
250601629,47.2853402,7.7098897,Oensingen,,information,,,,;
250881711,55.7193579,13.1845295,Monumentet,memorial,,,,,;
250892452,56.4965753,15.3196165,,,information,,,,;
250908207,47.1292491,7.2398253,Nidau Zihl,,information,,,,;
250996283,56.0637476,14.6252622,,,information,,,,;
251059633,55.9002894,13.7300040,,,information,,,,;
251151677,59.3635034,18.1163172,Flöjtspelade ängel,,artwork,,,,sculpture;
251151679,59.3639975,18.1157823,,,viewpoint,,,,;
251151682,59.3653233,18.1344545,Raul Wallenbergs gärning-,monument,,,,,;
251331097,47.1101199,7.8571387,,,information,,,,;
251402958,46.1426348,7.8475988,,,viewpoint,,,,;
251811260,47.3267802,8.2054551,Seengen,,information,,,,;
252340078,57.6980399,11.9788887,Karin Boye,,artwork,,,,statue;
252340079,57.6980218,11.9791410,J. A. Wadman,,artwork,,,,;
252482356,62.8237234,13.2121421,,,viewpoint,,,,;
252498388,58.6078835,14.9445553,Övralid,,museum,,,,;
252543129,46.9036035,6.5718602,,,viewpoint,,,,;
252548125,46.9845149,6.8678766,,,viewpoint,,,,;
252797638,47.4152302,9.4888094,Wald (AR),,information,,,,;
252819160,47.1633569,8.5173113,St. Michael,,information,,,,;
252822593,47.5885317,7.5897727,Dreiländereck,,attraction,,,,;
252822610,47.5826379,7.5894323,Hafenmuseum Basel,,museum,,,,;
253006165,46.7472774,9.5533828,Canols,,information,,,,;
253161905,61.6349095,12.6856287,Njupeskär,,viewpoint,,,,;
253196388,47.3645679,7.9213522,Stauwehr Winznau,,information,,,,;
253197256,46.3906573,8.0388128,,,information,,,,;
253201073,46.9475874,7.4597836,,,information,,,,;
253468101,46.5091747,6.4982983,Musée Forel,,museum,,,,;
253781591,47.1232477,8.8981026,Vorderthal,,information,,,,;
253781596,47.1168477,8.9039482,,,information,,,,;
253781645,47.1019387,8.9214941,Heuboden,,information,,,,;
253781682,47.0933463,8.9313709,,,information,,,,;
253813459,46.7430478,9.5491040,,,information,,,,;
253813472,46.7377233,9.5447640,Bargias,,information,,,,;
253813483,46.7348424,9.5473002,,,information,,,,;
254189424,48.5152211,39.3713631,Острая Могила,monument,,,,,;
254190011,48.5216637,39.3590124,Танк Т-34-85,memorial,,,,,;
254288921,47.2145700,8.4184351,Frauentaler Wald,,information,,,,;
254289654,59.8185758,17.5661739,Högbyhatt,,viewpoint,,,,;
254380588,57.8317371,16.2136216,,,attraction,,,,;
254398395,59.4475768,17.9134012,,,information,,,,;
254399151,59.4477495,17.8723444,,,information,,,,;
254673412,59.3660820,18.0306067,Fjärilshuset Haga Ocean,,museum,,,,;
254930177,47.2282212,7.7694210,Oberhard,,information,,,,;
255034244,59.4019093,17.7628033,Gåseborg Fornborg,archaeological_site,,,,,;
255334830,48.2917850,25.9343628,Художній музей,,museum,,,,;
255367222,50.4417559,30.5130009,Тарасу Шевченку,memorial,,,,,;
255551847,46.9490661,7.4742912,Zentrum Paul Klee,,museum,,,,;
255619114,46.3983660,7.9850871,,,viewpoint,,,,;
255619278,46.3589016,7.9840066,Tourist office,,information,,,,;
255625884,47.3854071,8.0132687,Erlinsbach Stauwehr,,information,,,,;
255625990,47.3932187,8.0359302,Süffelsteg,,information,,,,;
255671216,46.1574882,8.7584141,,,information,,,,;
255671246,46.1547607,8.7534845,,,information,,,,;
255671276,46.1530202,8.7456458,,,information,,,,;
255671288,46.1526737,8.7436444,Gruppaldo,,information,,,,;
255722641,47.4169502,8.5227771,,,information,,,,;
255862094,59.3259883,18.1025069,Fatburen,,viewpoint,,,,;
255866955,56.8920134,13.3282314,,,information,,,,;
256187075,46.2710383,7.0143787,Les Dévens,,information,,,,;
256445238,46.5103610,9.8650156,,,information,,,,;
256494561,46.3600193,10.0490382,Puntalta,,information,,,,;
256496778,46.3246860,10.0561805,Poschiavo,,information,,,,;
256499614,46.3916023,10.0694240,,,information,,,,;
256565775,50.4486880,30.4605075,Державний політехнічний музей,,museum,,,,;
256887204,47.3549229,8.5926531,,,information,,,,;
